ID,window,window_starts,window_ends,method,period,power,lsp_p_value,sig_level,ofac,MESOR,amplitude,amplitude_se,acrophase,acrophase_se,phase_hours,phase_hours_se,adj_r_squared,cosinor_p_value,cos_coeff,sin_coeff,period_hours,autocorrelation_power,peak_lags,peaks,rythm_strength,from,to,alpha
IND 14,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,23.101604278074863,13.731002601108823,7.0006343340397425e-6,6.462423046514936,60,-3.834173149117984e-4,0.07254179467280651,0.16943495296427463,2.4873859568810244,0.011498349859906111,9.145457797821974,0.042276379786361167,0.1823970340468929,2.2869151319133294e-7,-0.057564157539523625,0.04414385281232853,NA,NA,NA,NA,NA,18,30,0.01
IND 14,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,25,NA,NA,NA,NA,9.179396197661052e-4,0.053210286138724285,0.24388915264246908,0.4101287103867898,0.010535790271622793,1.631850289049049,0.04192057752770676,0.09497050209099556,3.103056363863851e-4,0.04879753103935426,0.021216397324432135,25 hours,0.1416148294656063,50,0.1416148294656063,0.8678210497555421,18,30,0.01
IND 15,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,25.6379821958457,4.655473482844089,0.059618785723343004,6.462423046514936,60,0.0032710784644890863,0.06351024968154624,0.31467135510033606,5.732975518882293,0.024517983745446465,23.392899794690468,0.1000434652190697,0.05191767365390498,0.008410176621939916,0.05413707993265608,-0.03320735447122444,NA,NA,NA,NA,NA,18,30,0.01
IND 15,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,23.5,NA,NA,NA,NA,-8.252020524359662e-4,0.057533826545003566,0.3504297281223698,1.3334127251030765,0.11526651269003407,4.987151819972047,0.43111302878821467,0.04145664215272604,0.018330344340150472,0.013529678163917149,0.05592038095087855,23.5 hours,0.1308451589117376,47,0.1308451589117376,0.8018240998538401,18,30,0.01
IND 16,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,21.280788177339904,4.257247998320844,0.08767142885074397,6.462423046514936,60,-4.310687197715024e-4,0.026544057886961413,0.3356565889662429,3.178193385140291,4.468304600332663e-5,10.764358666695658,1.5133891340568574e-4,0.04566177080147937,0.013415297988289374,-0.026526280481856315,-9.713150386188769e-4,NA,NA,NA,NA,NA,18,30,0.01
IND 16,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,19,NA,NA,NA,NA,6.78029590343943e-4,0.015461648782143745,0.5860014268493408,4.714513815853407,0.3387041513274229,14.256425383293966,1.0242223586605892,0.006297565329000943,0.23655745455943367,3.285343501534224e-5,-0.015461613878058618,19 hours,0.08229586686336843,38,0.08229586686336843,0.5043121955618065,18,30,0.01
IND 18,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,22.097186700767264,19.038956666381935,3.4667476743708e-8,6.462423046514936,60,-0.00445733464425534,0.22054079515002595,0.14044429901289313,3.0109542863988725,9.017157698092458e-4,10.589154347876006,0.003171222993174006,0.2523631339066652,3.988189689139844e-10,-0.21866155325073663,0.02872920909772804,NA,NA,NA,NA,NA,18,30,0.01
IND 18,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,23,NA,NA,NA,NA,-0.004198852651883304,0.20700183848583534,0.15334089495009132,2.1122527038603267,0.018697838912651792,7.7320355542076245,0.06844463022594402,0.21681525472670105,1.0791830514510358e-8,-0.10668555832256982,0.17739208770945059,23 hours,0.2835275735774617,46,0.2835275735774617,1.7374677317702272,18,30,0.01
IND 19,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,25.26315789473684,11.52655456655162,6.346247578156411e-5,6.462423046514936,60,0.007048568855770908,0.17475767638904222,0.1892997644332586,5.828297975491279,0.004730794946169817,23.434166718617007,0.019021374326831576,0.14936569112733644,3.806107719113552e-6,0.15698666193912947,-0.07678172588648083,NA,NA,NA,NA,NA,18,30,0.01
IND 19,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,23,NA,NA,NA,NA,-0.004109741802195327,0.14716951396650843,0.22896387315107186,1.8869698614867545,0.04918070090766759,6.907373361184059,0.1800290880461253,0.10491289331096965,1.4163543128112093e-4,-0.04575971870012516,0.13987463667736097,23 hours,0.21372116093963958,46,0.21372116093963958,1.3096913857221169,18,30,0.01
IND 2,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,24.97109826589595,13.059272109846596,1.3704596059378544e-5,6.462423046514936,60,3.933257816403708e-4,0.05108967832135077,0.1814078443626875,0.8162727927575687,0.018322191918972882,3.2440915114242026,0.07281740589959644,0.16801650100970034,7.886424064155921e-7,0.034993445720761296,0.037223836282243024,NA,NA,NA,NA,NA,18,30,0.01
IND 2,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,25,NA,NA,NA,NA,4.1378174255474117e-4,0.05105834362809395,0.1816201153439834,0.7905094788933874,0.017492879328746075,3.145337278172023,0.06960195535199935,0.16783143352420427,8.011951656118778e-7,0.035918692799213024,0.03628776600509164,25 hours,0.16199542960578805,50,0.16199542960578805,0.9927141409313925,18,30,0.01
IND 20,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,23.999999999999996,4.659293000880138,0.05939734075625236,6.462423046514936,60,7.651619173778141e-4,0.06760985130871482,0.3184135014048437,2.7800510747187523,0.014809584492841225,10.619012894146211,0.05656844585214625,0.05164077560559732,0.008586367677652517,-0.06323905381185271,0.0239147248984412,NA,NA,NA,NA,NA,18,30,0.01
IND 20,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,24.5,NA,NA,NA,NA,-3.6710671470824427e-4,0.06578831793630545,0.32903008131563677,2.4351698942517643,0.04875284951713804,9.495448485499042,0.19010179626646212,0.047664563910318924,0.011556373721767816,-0.05004443564125796,0.042704299997030744,24.5 hours,0.08797981501281045,49,0.08797981501281045,0.5391436455477899,18,30,0.01
IND 21,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,25.33724340175953,18.512401003001568,5.869518177030826e-8,6.462423046514936,60,0.00719242371764888,0.21136004823890778,0.13921134614989725,5.590946390275986,0.006364389015137194,22.54575706604456,0.025664701213849887,0.2505807322868163,4.722806973564488e-10,0.16270896603211812,-0.13490315920804988,NA,NA,NA,NA,NA,18,30,0.01
IND 21,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,24,NA,NA,NA,NA,-0.003109716737811832,0.1888791907355753,0.15971491875045368,0.20529944023484617,0.002011758053385525,0.7841860974569979,0.007684349724029648,0.20554376793340468,2.9764858461155316e-8,0.18491272478904558,0.03850497245832699,24 hours,0.21956997702594,48,0.21956997702594,1.3455331526824976,18,30,0.01
IND 22,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,23.86740331491713,16.08444929098082,6.653474285726438e-7,6.462423046514936,60,3.928174148813652e-5,0.11484439331438194,0.15628902197493255,1.7333651453039458,0.023453141214965823,6.584387216419676,0.08908945909006842,0.2124131977612691,1.6066602153437308e-8,-0.018587988361369826,0.11333014322953111,NA,NA,NA,NA,NA,18,30,0.01
IND 22,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,24,NA,NA,NA,NA,1.4133384756327244e-4,0.11440811535503739,0.15673825987043205,1.5944202940936392,0.024265336058828163,6.090236908104868,0.0926867563091643,0.21181861972967386,1.695093487068427e-8,-0.0027025221835643726,0.11437619172248605,24 hours,0.22175113892184284,48,0.22175113892184284,1.3588993955635011,18,30,0.01
IND 23,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,23.801652892561982,37.14117650163147,4.766812266333926e-16,6.462423046514936,60,0.0018871904899409753,0.17358794789970433,0.08046802281302198,2.6815241196085307,0.0016785430862210952,10.158017501891077,0.006358574186534387,0.512140718366185,2.7393663793819764e-23,-0.15553863238504487,0.07707470072481849,NA,NA,NA,NA,NA,18,30,0.01
IND 23,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,24,NA,NA,NA,NA,0.0010063366085184629,0.17252543367356135,0.08155535690300408,2.535383510400976,0.0025959284983076286,9.684451639535931,0.009915716458050719,0.5066335421039154,6.078249762579362e-23,-0.14178377909519427,0.09829743256939917,24 hours,0.6363111444283016,48,0.6363111444283016,3.8993388433450167,18,30,0.01
