ID,window,window_starts,window_ends,method,period,power,lsp_p_value,sig_level,ofac,MESOR,amplitude,amplitude_se,acrophase,acrophase_se,phase_hours,phase_hours_se,adj_r_squared,cosinor_p_value,cos_coeff,sin_coeff,period_hours,autocorrelation_power,peak_lags,peaks,rythm_strength,from,to,alpha
IND 2,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,18.5,NA,NA,NA,NA,5.322538682469251e-4,0.02065801071692114,0.830769338168571,5.923026518393619,0.08172331388324945,17.439560546634382,0.2406233833518389,-0.003916190156047383,0.48893940702025185,0.019332610818504237,-0.007280354779863527,18.5 hours,0.07380736109954511,37,0.07380736109954511,0.45229431007188176,18,30,0.01
IND 30,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,19.45945945945946,3.6622415931196373,0.15408178501424008,6.462423046514936,60,0.004568328276402101,0.15099868387460974,0.361747367295365,5.749388106284488,0.026561993329656575,17.806252609341293,0.08226433044561982,0.03770572912190362,0.02418780314728778,0.12999193469349504,-0.07682902736925963,NA,NA,NA,NA,NA,18,30,0.01
IND 30,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,30,0.01
IND 4,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,22.097186700767264,10.811063643888252,1.297928504298409e-4,6.462423046514936,60,3.4022468276562873e-4,0.02521980314179761,0.20104867741703253,3.666047586525938,0.009701002942897361,12.893036575062366,0.03411722919725892,0.13719559618850785,1.0435483670791389e-5,-0.021830186136017567,-0.01262859627107665,NA,NA,NA,NA,NA,18,30,0.01
IND 4,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,21,NA,NA,NA,NA,5.4850856249266556e-5,0.02078919115916063,0.24972202645789782,4.347477859137944,0.05549044626343773,14.530374416551865,0.18546315516122747,0.08906184971288833,4.925459579934561e-4,-0.007418961090981473,-0.019420336901882666,21 hours,0.010536153525191154,42,0.010536153525191154,0.06456594868715783,18,30,0.01
IND 5,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,22.097186700767264,15.795059163476607,8.886464662961073e-7,6.462423046514936,60,-2.8027707131610087e-4,0.056197947678144324,0.15948266443848602,3.4310959874045164,0.0016886425440692152,12.066740819389299,0.005938747266377504,0.2064991386179359,2.7327574857855284e-8,-0.05385931392661459,-0.01604318006474485,NA,NA,NA,NA,NA,18,30,0.01
IND 5,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,22.5,NA,NA,NA,NA,-2.966238480832112e-4,0.05548978457661118,0.16358064807184072,3.053865280118446,3.329504119139016e-4,10.93584948452024,0.0011922908368630527,0.19718273282955034,6.259239283599007e-8,-0.05527639424012324,0.004861731396240101,22.5 hours,0.17990486795243943,45,0.17990486795243943,1.1024638588470423,18,30,0.01
IND 6,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,18.07531380753138,3.864460426389704,0.12747976200315592,6.462423046514936,60,-5.813164031265816e-4,0.030668871021016498,0.35202386018214765,2.313671157381289,0.06832784160561783,6.655912594096887,0.19656386345976362,0.040379309659113516,0.019852140480301702,-0.020744672602529934,0.022588452986373134,NA,NA,NA,NA,NA,18,30,0.01
IND 6,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,24,NA,NA,NA,NA,-5.483373680675608e-4,0.010774774498925634,1.0235388699200534,3.2517338489679597,0.011415555790771968,12.420708376379652,0.04360421117382405,-0.007308183161033988,0.6212454490384081,-0.010709485699523515,-0.001184348578079732,24 hours,0.1430008916365581,48,0.1430008916365581,0.8763148913451616,18,30,0.01
IND 7,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,lomb_scargle,22.796833773087066,11.339666277736987,7.650354559993356e-5,6.462423046514936,60,-4.7003298090830364e-4,0.056719663395814225,0.19172900980136823,2.600300333908449,0.010605494042456049,9.434484512891578,0.03847915873037698,0.14778778289076022,4.341363771893742e-6,-0.0486112209490899,0.029224466010061352,NA,NA,NA,NA,NA,18,30,0.01
IND 7,1,2020-08-26T00:00:00Z,2020-09-01T00:00:00Z,autocorrelation,24.5,NA,NA,NA,NA,4.4271057400918173e-4,0.03665096035230216,0.3110025296981602,0.8074870268732436,0.052396464967401156,3.148631019331644,0.20430933180252886,0.05497037972932817,0.006688987695009733,0.0253374087995768,0.02648223196917422,24.5 hours,0.13158510939387216,49,0.13158510939387216,0.8063585444921334,18,30,0.01
